,Region,Date,Confirmed,Week
324,Dumfries and Galloway,2020-03-24,26,12
325,Fife,2020-03-24,25,12
326,Forth Valley,2020-03-24,43,12
327,Grampian,2020-03-24,24,12
328,Greater Glasgow and Clyde,2020-03-24,183,12
329,Highland,2020-03-24,13,12
330,Lanarkshire,2020-03-24,75,12
331,Lothian,2020-03-24,70,12
332,Orkney,2020-03-24,0,12
333,Shetland,2020-03-24,24,12
334,Tayside,2020-03-24,48,12
335,Western Isles,2020-03-24,0,12
